Country Code	Time	"Adult literacy rate, population 15+ years, both sexes (%)"	"Agriculture, value added (% of GDP)"	"Central government debt, total (% of GDP)"	CO2 emissions (metric tons per capita)	"Death rate, crude (per 1,000 people)"	Female headed households (% of households with a female head)	"Foreign direct investment, net (BoP, current US$)"	GDP (current US$)	GDP growth (annual %)	GDP per capita (current US$)	GINI index (World Bank estimate)	"GNI per capita, Atlas method (current US$)"	"GNI per capita, PPP (current international $)"	"Inflation, consumer prices (annual %)"	"Inflation, GDP deflator (annual %)"	Internet users (per 100 people)	"Life expectancy at birth, total (years)"	Long-term unemployment (% of total unemployment)	"Long-term unemployment, female (% of female unemployment)"	"Long-term unemployment, male (% of male unemployment)"	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Population growth (annual %)	"Population, female (% of total)"	"Population, total"	Poverty headcount ratio at national poverty lines (% of population)	Unemployment with primary education (% of total unemployment)	"Unemployment with primary education, female (% of female unemployment)"	"Unemployment with primary education, male (% of male unemployment)"	Unemployment with secondary education (% of total unemployment)	"Unemployment with secondary education, female (% of female unemployment)"	"Unemployment with secondary education, male (% of male unemployment)"	Unemployment with tertiary education (% of total unemployment)	"Unemployment with tertiary education, female (% of female unemployment)"	"Unemployment with tertiary education, male (% of male unemployment)"	"Unemployment, female (% of female labor force) (modeled ILO estimate)"	"Unemployment, female (% of female labor force) (national estimate)"	"Unemployment, male (% of male labor force) (modeled ILO estimate)"	"Unemployment, male (% of male labor force) (national estimate)"	"Unemployment, total (% of total labor force) (modeled ILO estimate)"	"Unemployment, total (% of total labor force) (national estimate)"	"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"	"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"	"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"	"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"	"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"	"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"	Women who were first married by age 18 (% of women ages 20-24)	Grand Total
AND	1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.491342625	0	20755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20755
AND	1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.315135994	0	21888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21888
AND	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.220433759	0	23061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23061
AND	1970	0	0	0	0	0	0	0	78617622.62	0	3238.091462	0	0	0	0	0	0	0	0	0	0	0	0	0	5.146890015	0	24279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78617622.62
AND	1971	0	0	0	0	0	0	0	89406587.66	4.649473525	3497.910315	0	0	0	0	7.845862579	0	0	0	0	0	0	0	0	5.141685033	0	25560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89406587.66
AND	1972	0	0	0	0	0	0	0	113414399.2	8.149745709	4217.402915	0	3970	0	0	8.518075485	0	0	0	0	0	0	0	0	5.08002151	0	26892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113414399.2
AND	1973	0	0	0	0	0	0	0	150841573.5	7.788465414	5343.118326	0	4990	0	0	11.84943571	0	0	0	0	0	0	0	0	4.859182034	0	28231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150841573.5
AND	1974	0	0	0	0	0	0	0	186557164	5.618785784	6320.971878	0	6300	0	0	15.94520563	0	0	0	0	0	0	0	0	4.444406209	0	29514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186557164
AND	1975	0	0	0	0	0	0	0	220112879.8	0.542203245	7168.399653	0	7300	0	0	16.78179821	0	0	0	0	0	0	0	0	3.95933482	0	30706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220112879.8
AND	1976	0	0	0	0	0	0	0	227284061.5	3.303791457	7151.570481	0	7570	0	0	16.48985224	0	0	0	0	0	0	0	0	3.441055171	0	31781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227284061.5
AND	1977	0	0	0	0	0	0	0	253998001.2	2.838574307	7751.1673	0	7880	0	0	23.38309407	0	0	0	0	0	0	0	0	3.061431958	0	32769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253998001.2
AND	1978	0	0	0	0	0	0	0	308020288.9	1.463003413	9127.608869	0	8570	0	0	20.63103756	0	0	0	0	0	0	0	0	2.937894525	0	33746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308020288.9
AND	1979	0	0	0	0	0	0	0	411548365.7	0.041546518	11819.64921	0	10360	0	0	16.93170155	0	0	0	0	0	0	0	0	3.130132302	0	34819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411548365.7
AND	1980	0	0	0	0	0	0	0	446377571.5	2.208728144	12377.71598	0	12550	0	0	13.35481325	0	0	0	0	0	0	0	0	3.510419419	0	36063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446377571.5
AND	1981	0	0	0	0	0	0	0	388982990.5	-0.132468704	10372.32656	0	12410	0	0	12.35116668	0	0	0	0	0	0	0	0	3.91268559	0	37502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388982990.5
