Country Code	Nome	Ano	"Taxa de mortalidade (por 1000 pessoas)"	"Expectativa de vida à nascença (anos)"	"Desemprego de Longo Prazo (%)"	"Desemprego de Longo Prazo Feminino (%)"	"Long-term unemployment, male (% of male unemployment)"	"População entre os 0 e os 14 anos (%)"	"População entre os 15 e os 64 anos (%)"	"População com 65 anos ou mais (%)"	"Crescimento Populacional (% anual)"	"População Feminina (%)"	"População total"	"Desempregados com ensino básico (% do desemprego total)"	"Desempregados com ensino básico, mulheres (% do desemprego feminino total)"	"Unemployment with primary education, male (% of male unemployment)"	"Desempregados com ensino secundário (% do desemprego total)"	"Desempregados com ensino secundário, mulheres (% do desemprego feminino total)"	"Unemployment with secondary education, male (% of male unemployment)"	"Desempregados com ensino superior (% do desemprego total)"	"Desempregados com ensino superior, mulheres (% do desemprego feminino total)"	"Unemployment with tertiary education, male (% of male unemployment)"	"Desemprego, mulheres (% força de trabalho feminina)"	"Unemployment, male (% of male labor force)"	"Desemprego Total (%)"	"Desemprego, juventude feminina (% força de trabalho feminina entres os 15 e os 24 anos)"	"Desemprego jovem (% força de trabalho entres os 15 e os 24 anos)"
AND	Andorra	1967	0	0	0	0	0	0	0	0	5.491342625	0	20755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1968	0	0	0	0	0	0	0	0	5.315135994	0	21888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1969	0	0	0	0	0	0	0	0	5.220433759	0	23061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1970	0	0	0	0	0	0	0	0	5.146890015	0	24279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1971	0	0	0	0	0	0	0	0	5.141685033	0	25560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1972	0	0	0	0	0	0	0	0	5.08002151	0	26892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1973	0	0	0	0	0	0	0	0	4.859182034	0	28231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1974	0	0	0	0	0	0	0	0	4.444406209	0	29514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1975	0	0	0	0	0	0	0	0	3.95933482	0	30706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1976	0	0	0	0	0	0	0	0	3.441055171	0	31781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1977	0	0	0	0	0	0	0	0	3.061431958	0	32769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1978	0	0	0	0	0	0	0	0	2.937894525	0	33746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1979	0	0	0	0	0	0	0	0	3.130132302	0	34819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1980	0	0	0	0	0	0	0	0	3.510419419	0	36063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1981	0	0	0	0	0	0	0	0	3.91268559	0	37502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1982	0	0	0	0	0	0	0	0	4.203506039	0	39112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1983	0	0	0	0	0	0	0	0	4.377121054	0	40862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1984	0	0	0	0	0	0	0	0	4.409205684	0	42704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1985	0	0	0	0	0	0	0	0	4.337399953	0	44597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1986	0	0	0	0	0	0	0	0	4.210824903	0	46515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1987	0	0	0	0	0	0	0	0	4.092260216	0	48458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1988	0	0	0	0	0	0	0	0	3.990862197	0	50431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1989	0	0	0	0	0	0	0	0	3.923520353	0	52449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1990	0	0	0	0	0	0	0	0	3.856124728	0	54511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1991	0	0	0	0	0	0	0	0	3.891303561	0	56674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1992	0	0	0	0	0	0	0	0	3.859344829	0	58904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1993	0	0	0	0	0	0	0	0	3.501404323	0	61003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1994	0	0	0	0	0	0	0	0	2.755004086	0	62707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1995	0	0	0	0	0	0	0	0	1.812614319	0	63854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1996	0	0	0	0	0	0	0	0	0.682042521	0	64291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1997	0	0	0	0	0	0	0	0	-0.224232798	0	64147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1998	0	0	0	0	0	0	0	0	-0.404577425	0	63888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	1999	0	0	0	0	0	0	0	0	0.426399915	0	64161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2000	0	0	0	0	0	0	0	0	1.911141835	0	65399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2001	0	0	0	0	0	0	0	0	3.561265132	0	67770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2002	0	0	0	0	0	0	0	0	4.720793543	0	71046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2003	0	0	0	0	0	0	0	0	5.126303185	0	74783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2004	3.8	0	0	0	0	0	0	0	4.642944647	0	78337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2005	3.6	0	0	0	0	0	0	0	3.61784254	0	81223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2006	3.3	0	0	0	0	0	0	0	2.612605765	0	83373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2007	2.8	0	0	0	0	0	0	0	1.789041541	0	84878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2008	2.8	0	0	0	0	0	0	0	0.865725022	0	85616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AND	Andorra	2009	3.2	0	0	0	0	0	0	0	-0.165994544	0	85474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
